invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall
I100079,C151652,Male,28,Clothing,4,1038.3,Credit Card,06/11/2021,Metrocity
I100080,C154549,Female,42,Technology,1,5961.5,Cash,29/11/2021,Cevahir AVM
I100081,C152200,Male,30,Clothing,3,417.16,Cash,07/02/2022,Forum Istanbul
I100082,C177224,Male,41,Toys,3,519.84,Credit Card,15/04/2021,Kanyon
I100083,C186766,Female,58,Books,2,243.34,Credit Card,08/06/2022,Cevahir AVM
I100084,C124883,Female,68,Toys,1,496.58,Debit Card,14/02/2022,Watergarden Istanbul
I100085,C171988,Male,64,Shoes,1,3280.44,Credit Card,07/04/2022,Zorlu Center
I100086,C198653,Male,59,Food & Beverage,4,19.31,Debit Card,11/05/2021,Metrocity
I100087,C161890,Female,39,Food & Beverage,3,58.59,Debit Card,31/10/2022,Istinye Park
I100088,C153242,Male,37,Souvenir,5,205.63,Cash,21/06/2021,Metrocity
I100089,C109852,Male,50,Souvenir,5,77.71,Credit Card,17/02/2023,Emaar Square Mall
I100090,C156023,Male,53,Cosmetics,2,163.5,Credit Card,24/07/2022,Mall of Istanbul
I100091,C141849,Male,41,Food & Beverage,5,48.41,Cash,07/02/2023,Forum Istanbul
I100092,C150179,Female,65,Cosmetics,4,289.17,Cash,26/05/2022,Istinye Park
I100093,C175272,Female,26,Cosmetics,1,289.71,Cash,29/01/2022,Forum Istanbul
I100094,C184645,Female,45,Food & Beverage,1,34.18,Credit Card,28/12/2022,Emaar Square Mall
I100095,C176962,Female,18,Shoes,4,3269.79,Debit Card,25/04/2022,Emaar Square Mall
I100096,C132566,Male,32,Books,2,140.14,Debit Card,22/04/2021,Emaar Square Mall
I100097,C111141,Male,18,Books,2,150.96,Cash,23/10/2022,Istinye Park
I100098,C116772,Female,51,Toys,1,104.69,Credit Card,22/06/2022,Zorlu Center
I100099,C125126,Female,34,Cosmetics,5,100.81,Debit Card,05/11/2021,Emaar Square Mall
I100100,C136517,Female,59,Cosmetics,4,468.39,Debit Card,10/09/2021,Kanyon
I100101,C153976,Female,21,Clothing,2,772.55,Debit Card,25/10/2022,Forum Istanbul
I100102,C110628,Female,32,Toys,3,174.73,Cash,14/12/2022,Cevahir AVM
I100103,C194153,Female,41,Toys,2,53.71,Credit Card,27/01/2023,Watergarden Istanbul
I100104,C108838,Male,49,Cosmetics,3,636.1,Cash,25/08/2021,Emaar Square Mall
I100105,C129024,Female,66,Food & Beverage,1,190.87,Credit Card,17/09/2022,Metrocity
I100106,C129271,Female,44,Clothing,5,262.26,Credit Card,25/02/2021,Metropol AVM
I100107,C103097,Male,44,Clothing,1,316.95,Credit Card,31/12/2022,Cevahir AVM
I100108,C196039,Male,23,Books,3,63.86,Debit Card,22/06/2022,Emaar Square Mall
I100109,C104180,Female,60,Toys,3,591.74,Credit Card,23/06/2021,Mall of Istanbul
I100110,C100376,Male,35,Shoes,3,1586.6,Cash,29/07/2022,Metropol AVM
I100111,C149824,Female,67,Food & Beverage,4,26.67,Debit Card,30/04/2022,Metropol AVM
I100112,C148852,Female,30,Technology,3,5292.58,Credit Card,01/02/2021,Forum Istanbul
I100113,C132507,Female,20,Toys,1,305.23,Cash,21/09/2021,Metropol AVM
I100114,C197948,Male,56,Technology,3,2270.05,Debit Card,14/02/2021,Istinye Park
I100115,C197837,Female,35,Food & Beverage,1,147.1,Debit Card,12/10/2022,Mall of Istanbul
I100116,C103179,Male,24,Souvenir,4,286.86,Credit Card,15/09/2021,Forum Istanbul
I100117,C164680,Male,49,Books,1,204.59,Debit Card,07/11/2021,Metrocity
I100118,C179594,Male,38,Technology,4,2852.08,Debit Card,22/03/2021,Watergarden Istanbul
I100119,C125862,Female,66,Books,2,113.78,Debit Card,04/02/2021,Emaar Square Mall
I100120,C172429,Female,28,Toys,1,593.3,Credit Card,02/10/2022,Mall of Istanbul
I100121,C127307,Male,44,Souvenir,4,64.36,Cash,03/03/2022,Emaar Square Mall
I100122,C181304,Male,65,Shoes,3,1169.48,Debit Card,02/10/2021,Cevahir AVM
I100123,C133299,Female,30,Souvenir,2,67.93,Cash,07/06/2021,Istinye Park
I100124,C175796,Male,38,Shoes,4,1030.46,Cash,04/06/2022,Watergarden Istanbul
I100125,C130327,Male,59,Souvenir,1,44.16,Credit Card,25/08/2021,Emaar Square Mall
I100126,C149004,Male,36,Cosmetics,1,135.27,Debit Card,21/08/2022,Metropol AVM
I100127,C109845,Female,50,Books,4,158.7,Debit Card,07/01/2021,Mall of Istanbul
I100128,C183552,Female,31,Clothing,3,543.02,Cash,28/07/2021,Istinye Park
I100129,C105011,Male,18,Technology,4,4909.08,Cash,28/09/2022,Istinye Park
I100130,C110215,Male,20,Souvenir,5,152.8,Credit Card,14/04/2021,Forum Istanbul
I100131,C187035,Male,58,Shoes,2,1512.65,Credit Card,24/02/2022,Istinye Park
I100132,C187531,Female,44,Clothing,3,1130.74,Credit Card,01/03/2022,Forum Istanbul
I100133,C102387,Female,59,Cosmetics,4,609.62,Cash,07/01/2021,Forum Istanbul
I100134,C120521,Female,25,Shoes,4,2106.73,Credit Card,17/04/2022,Metrocity
I100135,C117036,Male,21,Books,4,40.48,Debit Card,15/01/2022,Watergarden Istanbul
I100136,C122503,Male,40,Food & Beverage,2,109.02,Cash,22/04/2021,Forum Istanbul
I100137,C164292,Male,37,Books,1,244.38,Credit Card,19/11/2021,Kanyon
I100138,C179645,Female,23,Books,2,162.84,Debit Card,20/07/2021,Emaar Square Mall
I100139,C123981,Male,20,Toys,5,136.06,Credit Card,07/05/2021,Metrocity
I100140,C132382,Male,20,Clothing,3,220.71,Debit Card,12/04/2022,Watergarden Istanbul
I100141,C182187,Female,59,Toys,3,370.44,Credit Card,03/02/2022,Cevahir AVM
I100142,C158561,Female,29,Clothing,1,947.39,Credit Card,22/04/2022,Metropol AVM
I100143,C158565,Female,29,Souvenir,4,45.52,Cash,03/01/2022,Forum Istanbul
I100144,C147884,Male,69,Souvenir,5,160.4,Cash,11/02/2021,Metrocity
I100145,C110779,Female,67,Shoes,1,2681.79,Credit Card,31/10/2022,Metrocity
I100146,C103389,Male,57,Shoes,2,634.34,Credit Card,22/10/2021,Metrocity
I100147,C189932,Male,22,Technology,5,5415.17,Cash,28/11/2021,Zorlu Center
I100148,C136043,Female,27,Food & Beverage,5,193.22,Credit Card,02/08/2021,Zorlu Center
I100149,C134454,Male,38,Technology,1,1793.12,Credit Card,15/06/2021,Istinye Park
I100150,C189087,Female,42,Books,3,46.47,Debit Card,19/02/2021,Cevahir AVM
I100151,C159380,Male,34,Toys,3,195.61,Credit Card,15/08/2022,Metrocity
I100152,C147218,Female,66,Shoes,4,959.16,Debit Card,01/02/2023,Kanyon
I100153,C138847,Female,37,Technology,1,5356.28,Cash,02/06/2021,Istinye Park
I100154,C180747,Female,44,Technology,1,1358.15,Cash,20/09/2022,Kanyon
I100155,C102921,Male,18,Technology,3,1191.36,Credit Card,01/07/2022,Metropol AVM
I100156,C154163,Female,55,Books,2,104.23,Credit Card,12/06/2021,Metrocity
I100157,C101849,Male,63,Books,4,42.04,Debit Card,29/05/2021,Istinye Park
I100158,C152684,Female,18,Clothing,5,1344.38,Debit Card,24/10/2022,Zorlu Center
I100159,C158163,Female,33,Books,1,30.12,Debit Card,26/01/2021,Forum Istanbul
I100160,C124334,Male,28,Clothing,1,67.91,Debit Card,04/11/2022,Metropol AVM
I100161,C118647,Female,30,Toys,5,146.05,Credit Card,07/03/2021,Istinye Park
I100162,C182046,Male,64,Souvenir,5,16.81,Credit Card,03/02/2023,Emaar Square Mall
I100163,C110548,Female,29,Cosmetics,1,283.0,Debit Card,09/02/2021,Mall of Istanbul
I100164,C143976,Female,63,Clothing,3,972.01,Debit Card,23/03/2022,Watergarden Istanbul
I100165,C134772,Female,59,Cosmetics,1,716.03,Cash,23/06/2021,Istinye Park
I100166,C130947,Male,28,Technology,2,6221.07,Credit Card,08/09/2022,Metropol AVM
I100167,C149735,Female,48,Clothing,1,683.96,Debit Card,28/08/2021,Zorlu Center
I100168,C140337,Male,43,Shoes,5,3205.61,Cash,03/02/2021,Kanyon
I100169,C114666,Male,57,Books,3,244.8,Debit Card,30/01/2021,Kanyon
I100170,C105459,Male,62,Clothing,1,1118.34,Cash,28/08/2022,Cevahir AVM
I100171,C126124,Male,66,Toys,1,185.62,Cash,25/04/2021,Kanyon
I100172,C104512,Male,66,Food & Beverage,4,28.98,Cash,15/02/2023,Metropol AVM
I100173,C138595,Female,39,Toys,3,61.51,Credit Card,17/10/2021,Kanyon
I100174,C193816,Female,38,Souvenir,3,191.21,Cash,27/02/2022,Kanyon
I100175,C157206,Male,40,Souvenir,1,168.3,Cash,02/01/2023,Mall of Istanbul
I100176,C175306,Female,28,Toys,1,337.96,Credit Card,20/02/2023,Kanyon
I100177,C100571,Female,49,Shoes,4,2494.19,Cash,22/05/2022,Zorlu Center
I100178,C145506,Female,54,Books,3,207.51,Debit Card,26/08/2021,Emaar Square Mall
I100179,C121730,Male,58,Shoes,4,2800.12,Debit Card,29/07/2022,Mall of Istanbul
I100180,C182304,Female,40,Shoes,4,3264.07,Debit Card,30/03/2021,Forum Istanbul
I100181,C184654,Male,41,Cosmetics,3,284.24,Debit Card,29/05/2022,Metrocity
I100182,C149716,Male,47,Books,5,156.64,Debit Card,11/02/2023,Zorlu Center
I100183,C184711,Male,40,Technology,5,1509.62,Credit Card,09/11/2022,Watergarden Istanbul
I100184,C197253,Female,28,Souvenir,4,211.38,Credit Card,17/08/2022,Metropol AVM
I100185,C116522,Female,47,Cosmetics,5,234.1,Credit Card,12/02/2023,Zorlu Center
I100186,C120262,Male,33,Technology,5,3894.16,Cash,30/08/2021,Cevahir AVM
I100187,C124808,Female,64,Shoes,2,3375.87,Cash,20/07/2021,Forum Istanbul
I100188,C119786,Male,68,Food & Beverage,3,92.64,Cash,22/04/2021,Mall of Istanbul
I100189,C136805,Male,42,Souvenir,1,18.6,Credit Card,12/12/2022,Metropol AVM
I100190,C165599,Female,47,Clothing,2,422.96,Debit Card,19/02/2022,Kanyon
I100191,C197117,Male,45,Toys,2,417.34,Debit Card,04/03/2023,Zorlu Center
I100192,C129963,Male,59,Shoes,4,1627.35,Credit Card,06/10/2022,Mall of Istanbul
I100193,C154995,Male,68,Toys,2,187.53,Credit Card,10/05/2022,Emaar Square Mall
I100194,C102576,Female,51,Books,3,198.98,Credit Card,17/05/2022,Mall of Istanbul
I100195,C104999,Female,52,Cosmetics,2,601.35,Cash,16/06/2022,Cevahir AVM
I100196,C113249,Female,52,Cosmetics,4,458.53,Debit Card,14/01/2022,Watergarden Istanbul
I100197,C144938,Female,65,Souvenir,2,297.23,Cash,06/02/2022,Watergarden Istanbul
I100198,C199968,Male,64,Technology,1,2140.98,Credit Card,14/02/2022,Kanyon
I100199,C101744,Male,44,Toys,3,369.1,Cash,18/08/2021,Istinye Park
I100200,C197186,Female,51,Cosmetics,4,423.48,Cash,13/05/2021,Mall of Istanbul
I100201,C183138,Male,48,Cosmetics,2,347.19,Debit Card,28/02/2022,Emaar Square Mall
I100202,C138580,Male,67,Souvenir,3,238.32,Cash,01/10/2021,Forum Istanbul
I100203,C190105,Female,45,Books,4,20.62,Debit Card,15/10/2021,Cevahir AVM
I100204,C132108,Female,38,Souvenir,4,137.12,Debit Card,29/03/2021,Cevahir AVM
I100205,C120021,Female,42,Clothing,1,1250.45,Credit Card,24/05/2021,Watergarden Istanbul
I100206,C145239,Male,60,Clothing,2,1430.06,Debit Card,28/10/2021,Istinye Park
I100207,C179718,Male,55,Books,2,62.7,Credit Card,21/12/2021,Metrocity
I100208,C127333,Female,68,Books,5,224.96,Debit Card,03/04/2021,Watergarden Istanbul
I100209,C183439,Female,30,Souvenir,2,166.28,Debit Card,26/03/2022,Mall of Istanbul
I100210,C172753,Male,34,Toys,2,504.88,Credit Card,20/05/2022,Watergarden Istanbul
I100211,C107661,Female,47,Books,4,76.71,Cash,07/07/2022,Zorlu Center
I100212,C196284,Male,28,Technology,4,5023.26,Credit Card,13/11/2022,Istinye Park
I100213,C161048,Female,45,Toys,1,149.29,Credit Card,14/10/2022,Kanyon
I100214,C102694,Male,61,Technology,1,3819.07,Credit Card,15/02/2023,Metrocity
I100215,C104442,Male,63,Toys,2,236.23,Debit Card,10/01/2022,Cevahir AVM
I100216,C162198,Male,36,Toys,3,282.31,Debit Card,23/02/2021,Istinye Park
I100217,C138388,Female,49,Toys,3,327.06,Credit Card,03/06/2022,Cevahir AVM
I100218,C126677,Female,68,Shoes,3,834.62,Debit Card,03/11/2021,Metrocity
I100219,C176867,Male,68,Clothing,4,1097.88,Credit Card,13/07/2022,Zorlu Center
I100220,C106514,Female,37,Shoes,1,353.11,Credit Card,16/09/2022,Kanyon
I100221,C165646,Female,57,Books,5,221.55,Cash,06/08/2021,Kanyon
I100222,C187425,Female,58,Books,1,172.63,Cash,08/03/2022,Mall of Istanbul
I100223,C185946,Male,41,Books,3,149.28,Credit Card,06/11/2021,Metrocity
I100224,C155284,Male,38,Clothing,4,871.18,Debit Card,25/02/2021,Emaar Square Mall
I100225,C174384,Male,25,Toys,5,432.64,Credit Card,03/04/2022,Mall of Istanbul
I100226,C101852,Female,56,Books,4,197.07,Debit Card,15/04/2021,Mall of Istanbul
I100227,C184476,Female,31,Books,1,118.21,Cash,02/12/2022,Mall of Istanbul
I100228,C111552,Male,25,Books,4,24.09,Debit Card,06/08/2022,Metropol AVM
I100229,C159084,Male,21,Technology,2,5243.19,Cash,28/10/2021,Watergarden Istanbul
I100230,C192960,Female,47,Food & Beverage,1,146.27,Cash,04/03/2021,Kanyon
I100231,C185288,Male,42,Food & Beverage,3,148.59,Cash,14/05/2022,Zorlu Center
I100232,C107835,Female,41,Souvenir,4,207.91,Cash,30/04/2021,Cevahir AVM
I100233,C184526,Male,58,Toys,4,262.16,Credit Card,06/10/2021,Zorlu Center
I100234,C143763,Female,35,Clothing,5,1462.23,Debit Card,07/09/2022,Cevahir AVM
I100235,C179406,Male,27,Food & Beverage,5,91.43,Cash,21/01/2022,Forum Istanbul
I100236,C189760,Female,56,Cosmetics,4,298.32,Cash,26/11/2021,Istinye Park
I100237,C135130,Female,28,Clothing,3,1258.18,Debit Card,31/05/2021,Istinye Park
I100238,C171807,Female,40,Shoes,5,2027.13,Credit Card,25/07/2021,Metropol AVM
I100239,C140562,Male,61,Toys,4,439.59,Credit Card,24/08/2022,Kanyon
I100240,C150459,Female,52,Shoes,5,2861.7,Cash,27/08/2021,Forum Istanbul
I100241,C175968,Female,51,Technology,4,3790.1,Cash,13/07/2021,Metropol AVM
I100242,C125206,Male,29,Food & Beverage,3,119.79,Credit Card,17/02/2022,Watergarden Istanbul
I100243,C119530,Male,20,Souvenir,3,261.92,Credit Card,10/10/2022,Emaar Square Mall
I100244,C110713,Male,38,Clothing,3,456.79,Debit Card,22/01/2021,Mall of Istanbul
I100245,C104401,Male,54,Souvenir,5,176.65,Credit Card,14/10/2021,Forum Istanbul
I100246,C112728,Female,67,Books,3,214.06,Credit Card,25/07/2021,Metrocity
I100247,C149571,Male,19,Clothing,1,858.2,Debit Card,15/04/2022,Emaar Square Mall
I100248,C108412,Female,25,Shoes,3,1251.74,Cash,19/10/2022,Mall of Istanbul
I100249,C187781,Female,29,Souvenir,2,120.71,Cash,09/01/2023,Metropol AVM
I100250,C122560,Male,34,Technology,1,6367.9,Cash,18/02/2021,Istinye Park
I100251,C167283,Female,21,Shoes,2,1248.35,Cash,23/07/2021,Istinye Park
I100252,C177304,Female,66,Shoes,4,1268.93,Credit Card,04/02/2022,Mall of Istanbul
I100253,C149149,Female,42,Books,4,74.85,Cash,25/11/2022,Kanyon
I100254,C161328,Male,69,Clothing,2,1395.13,Cash,21/03/2021,Zorlu Center
I100255,C148902,Male,67,Souvenir,1,278.89,Credit Card,23/01/2021,Mall of Istanbul
I100256,C159288,Female,38,Cosmetics,4,180.93,Credit Card,27/05/2021,Cevahir AVM
I100257,C129052,Male,29,Souvenir,5,268.46,Credit Card,02/06/2021,Istinye Park
I100258,C154822,Female,33,Books,1,82.35,Credit Card,09/12/2021,Metrocity
I100259,C134166,Female,24,Technology,4,6370.59,Cash,07/06/2021,Watergarden Istanbul
I100260,C107451,Male,53,Souvenir,3,48.97,Cash,09/01/2022,Forum Istanbul
I100261,C134278,Male,33,Shoes,4,1155.11,Cash,28/02/2021,Istinye Park
I100262,C118920,Male,46,Technology,5,1410.93,Cash,24/06/2022,Istinye Park
I100263,C124355,Female,45,Clothing,4,366.48,Debit Card,05/07/2021,Metrocity
I100264,C123609,Male,63,Books,2,158.15,Cash,16/09/2022,Emaar Square Mall
I100265,C199782,Female,29,Cosmetics,2,528.7,Debit Card,06/10/2022,Metropol AVM
I100266,C176406,Female,30,Clothing,1,1053.75,Debit Card,22/02/2022,Kanyon
I100267,C167955,Female,39,Food & Beverage,4,27.16,Credit Card,21/02/2023,Emaar Square Mall
I100268,C117469,Female,33,Books,5,211.27,Credit Card,07/02/2021,Metrocity
I100269,C192046,Female,54,Clothing,3,803.74,Credit Card,13/06/2022,Mall of Istanbul
I100270,C115829,Female,63,Cosmetics,3,645.39,Credit Card,14/08/2022,Kanyon
I100271,C138212,Male,64,Souvenir,4,161.29,Debit Card,05/07/2022,Metrocity
I100272,C102711,Male,23,Cosmetics,5,227.68,Cash,16/11/2021,Istinye Park
I100273,C172792,Male,19,Shoes,2,1062.68,Debit Card,15/10/2022,Zorlu Center
I100274,C160809,Male,62,Souvenir,1,114.95,Cash,05/01/2023,Metrocity
I100275,C105920,Female,25,Souvenir,4,181.98,Credit Card,23/04/2021,Mall of Istanbul
I100276,C115930,Female,26,Cosmetics,2,203.05,Debit Card,19/04/2022,Forum Istanbul
I100277,C121538,Male,58,Toys,4,378.37,Debit Card,23/06/2022,Kanyon
I100278,C151856,Male,67,Technology,3,3104.59,Credit Card,03/01/2023,Forum Istanbul
I100279,C173980,Female,43,Clothing,3,800.19,Debit Card,28/12/2021,Metropol AVM
I100280,C155330,Male,41,Shoes,5,818.74,Credit Card,20/03/2022,Metropol AVM
I100281,C166161,Male,32,Books,4,243.03,Credit Card,11/10/2022,Kanyon
I100282,C105277,Male,59,Food & Beverage,5,61.95,Debit Card,06/02/2021,Zorlu Center
I100283,C113173,Female,25,Clothing,4,393.15,Cash,22/10/2021,Mall of Istanbul
I100284,C140030,Female,59,Books,1,33.88,Debit Card,02/10/2021,Mall of Istanbul
I100285,C161134,Male,46,Shoes,5,633.52,Credit Card,21/02/2022,Zorlu Center
I100286,C137788,Female,33,Shoes,5,1147.65,Credit Card,17/09/2022,Zorlu Center
I100287,C129047,Female,30,Technology,4,6296.76,Credit Card,20/09/2022,Emaar Square Mall
I100288,C161468,Female,19,Cosmetics,3,255.11,Debit Card,14/07/2022,Forum Istanbul
I100289,C176766,Female,18,Technology,2,6102.12,Cash,28/11/2021,Watergarden Istanbul
I100290,C142661,Female,35,Food & Beverage,2,66.15,Cash,12/06/2021,Watergarden Istanbul
I100291,C108755,Female,46,Clothing,5,612.44,Credit Card,29/12/2021,Mall of Istanbul
I100292,C168279,Male,61,Books,4,97.51,Credit Card,24/05/2021,Metropol AVM
I100293,C180779,Female,51,Shoes,4,1086.65,Debit Card,27/12/2022,Metrocity
I100294,C154137,Male,18,Toys,5,372.21,Credit Card,12/02/2022,Zorlu Center
I100295,C119612,Female,68,Food & Beverage,5,125.39,Credit Card,09/04/2022,Emaar Square Mall
I100296,C137756,Female,36,Technology,4,3919.79,Debit Card,29/01/2022,Cevahir AVM
I100297,C100886,Female,42,Souvenir,3,67.5,Credit Card,29/05/2021,Forum Istanbul
I100298,C175423,Female,55,Cosmetics,1,675.15,Credit Card,28/11/2021,Zorlu Center
I100299,C131804,Female,31,Toys,1,64.07,Credit Card,02/08/2022,Emaar Square Mall
I100300,C139297,Female,52,Toys,5,504.12,Debit Card,03/12/2022,Forum Istanbul
I100301,C151054,Female,40,Clothing,5,1030.53,Credit Card,11/01/2021,Mall of Istanbul
I100302,C168845,Male,24,Toys,3,325.5,Debit Card,29/07/2022,Zorlu Center
I100303,C120213,Male,44,Souvenir,4,140.45,Debit Card,25/08/2022,Cevahir AVM
I100304,C190646,Male,28,Technology,3,2883.28,Cash,15/11/2021,Watergarden Istanbul
I100305,C123014,Male,59,Food & Beverage,3,165.91,Debit Card,07/03/2022,Metrocity
I100306,C168689,Female,50,Cosmetics,5,725.2,Credit Card,06/07/2021,Kanyon
I100307,C182588,Male,40,Clothing,4,65.56,Cash,11/11/2021,Watergarden Istanbul
I100308,C100512,Female,43,Shoes,5,250.96,Cash,21/07/2021,Metrocity
